frame,seq,t_mono,x,y,contrast,moat,crowd
1011,1011,353.073678,949,514,73,25,1
1015,1015,353.233563,949,460,63,12,1
1017,1017,353.313457,1084,1023,76,28,8
1017,1017,353.313457,945,433,60,33,2
1018,1018,353.353608,941,424,59,3,2
1020,1020,353.433454,935,399,56,19,1
1021,1021,353.473333,935,396,64,6,2
1022,1022,353.513349,935,389,79,41,2
1023,1023,353.553262,937,384,90,28,2
1024,1024,353.593216,935,382,76,35,1
1025,1025,353.633406,933,378,93,58,1
1026,1026,353.673473,933,379,88,37,1
1027,1027,353.713335,931,388,53,13,2
1028,1028,353.753339,929,398,58,26,1
1033,1033,353.953207,885,484,51,16,4
1034,1034,353.993222,883,500,56,16,1
1035,1035,354.033166,883,514,71,23,1
1040,1040,354.233110,843,636,52,13,4
1042,1042,354.312990,835,678,73,32,3
1043,1043,354.353003,833,694,50,10,4
1045,1045,354.433036,837,722,57,18,4
1046,1046,354.512971,851,737,86,60,2
1047,1047,354.553194,860,742,56,21,2
1048,1048,354.593072,865,745,55,27,4
1049,1049,354.632927,869,745,59,9,4
1050,1050,354.673063,877,744,54,28,3
1060,1060,355.072887,989,622,63,9,2
1061,1061,355.112788,993,607,55,3,2
1063,1063,355.192815,1000,579,53,12,2
1064,1064,355.232840,1001,572,72,6,2
1066,1066,355.312989,994,559,75,39,2
1067,1067,355.352685,993,556,110,64,1
1068,1068,355.393020,991,551,50,6,1
1069,1069,355.432976,984,550,66,35,3
